customer_id,age,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,tech_support,support_tickets,churn
CUST_10000,47.0,43.0,67.17580619169152,$3154.20,Month-to-month,Credit card,DSL,Yes,2,Yes
CUST_10001,39.0,44.0,90.71772099141282, 4235.98 ,One year,Credit card,Fiber optic,No,1,No
CUST_10002,49.0,11.0,51.90375478839954,$624.41,Month-to-month,Credit card,DSL,No,3,No
CUST_10003,59.0,24.0,128.32110911712348,$3181.50,Month-to-month,Credit card,DSL,Yes,1,Yes
CUST_10004,,2.0,130.13039216743056,401 USD,Month-to-month,Bank transfer,DSL,No,1,No
CUST_10005,38.0,3.0,93.34992960250457,$386.83,Month-to-month,Bank transfer,Fiber optic,No,0,Yes
CUST_10006,60.0,1.0,99.49548644514827,$201.33,Month-to-month,Electronic check,Fiber optic,Yes,2,Yes
CUST_10007,50.0,21.0,189.64531395918348,$4276.45,Month-to-month,Bank transfer,Fiber optic,No,3,Yes
CUST_10008,35.0,13.0,96.84990242687017,$1246.50,One year,Mailed check,DSL,No,1,No
CUST_10009,48.0,19.0,67.91764946929973,1481 USD,Two year,Credit card,Fiber optic,No,4,No
CUST_10010,35.0,18.0,62.378761030065405,$1254.12,,Mailed check,Fiber optic,No internet service,0,No
CUST_10011,35.0,10.0,67.35144723591078, 722.19 ,Month-to-month,Electronic check,DSL,No internet service,0,Yes
CUST_10012,44.0,27.0,69.22461953444629,1962.64,Month-to-month,Electronic check,Fiber optic,Yes,1,No
CUST_10013,18.0,34.0,82.53875892298052, 2627.31 ,Month-to-month,Bank transfer,DSL,No,1,Yes
CUST_10014,20.0,0.0,78.06748247981957,70.90,Two year,Mailed check,DSL,No internet service,3,No
CUST_10015,34.0,6.0,80.45153588763918,535 USD,Two year,,Fiber optic,Yes,0,No
CUST_10016,29.0,30.0,125.45781553544772,4036.75,Month-to-month,Electronic check,Fiber optic,Yes,2,Yes
CUST_10017,45.0,12.0,78.01282434571687,$1085.59,Month-to-month,Mailed check,DSL,Yes,0,No
CUST_10018,30.0,26.0,65.1874634063697,$1780.90,Two year,Electronic check,DSL,No,0,No
CUST_10019,24.0,10.0,118.77641925096543,1314 USD,,Electronic check,DSL,No,3,Yes
CUST_10020,59.0,12.0,73.96361246196221,942.74,Two year,Mailed check,DSL,No,2,No
CUST_10021,38.0,4.0,34.04578546662655,$158.71,Two year,Mailed check,DSL,No,4,No
CUST_10022,42.0,,128.82353586349754,,Month-to-month,Mailed check,DSL,Yes,2,Yes
CUST_10023,24.0,22.0,55.80614641218828, 1185.57 ,Month-to-month,Electronic check,Fiber optic,No internet service,1,No
CUST_10024,34.0,14.0,86.85909280345759,$1370.81,Month-to-month,Credit card,Fiber optic,Yes,2,Yes
CUST_10025,42.0,36.0,71.67188387762259,2878.60,Month-to-month,Mailed check,Fiber optic,No,2,No
CUST_10026,27.0,46.0,75.24385660683315, 3506.96 ,Month-to-month,Electronic check,Fiber optic,No,2,Yes
CUST_10027,46.0,19.0,58.36070368718026,1204 USD,Month-to-month,Electronic check,DSL,No,1,No
CUST_10028,34.0,34.0,54.00950719403461,2047.03,Month-to-month,Electronic check,DSL,No,1,No
CUST_10029,37.0,9.0,103.87024799319809,953.55,Month-to-month,Electronic check,No,No,2,Yes
CUST_10030,,,76.11672263781328, ,Month-to-month,Electronic check,DSL,Yes,1,No
CUST_10031,63.0,30.0,69.94287927179363,$2285.52,Month-to-month,Bank transfer,DSL,No,4,Yes
CUST_10032,41.0,12.0,70.38241601044744, 936.35 ,Month-to-month,Bank transfer,DSL,No internet service,2,No
CUST_10033,28.0,21.0,106.85961050890069, 2397.29 ,Two year,Mailed check,Fiber optic,No,2,No
CUST_10034,51.0,,56.003156434866874, ,Two year,Bank transfer,Fiber optic,Yes,1,No
CUST_10035,26.0,22.0,, ,Month-to-month,Electronic check,No,Yes,1,Yes
CUST_10036,44.0,47.0,81.99376983169856,$3772.40,Month-to-month,Credit card,No,No,1,No
CUST_10037,17.0,49.0,66.9430506765884,3470.26,Month-to-month,Electronic check,Fiber optic,Yes,1,No
CUST_10038,25.0,31.0,62.767894377551485,$2127.00,One year,Bank transfer,DSL,Yes,3,No
CUST_10039,43.0,33.0,60.57342749200923,$1900.03,Month-to-month,Electronic check,DSL,Yes,0,No
CUST_10040,50.0,20.0,59.7539855607612,1263 USD,Month-to-month,Credit card,DSL,Yes,2,No
CUST_10041,43.0,21.0,96.44940234792202, 1952.67 ,Two year,Mailed check,DSL,No,0,No
CUST_10042,40.0,3.0,52.082385119556605,$223.85,Month-to-month,Electronic check,DSL,Yes,0,No
CUST_10043,37.0,14.0,71.73489330273108,1077.67,Month-to-month,Bank transfer,DSL,No internet service,0,Yes
CUST_10044,23.0,14.0,80.27499176638202,1278 USD,Month-to-month,Electronic check,DSL,No,0,No
CUST_10045,32.0,72.0,55.32680972960697,3932 USD,Month-to-month,Bank transfer,DSL,No,3,No
CUST_10046,35.0,14.0,48.44879422729736, 672.24 ,Month-to-month,Bank transfer,No,No internet service,3,No
CUST_10047,54.0,19.0,38.94581137905614,$707.49,Two year,Electronic check,Fiber optic,No,2,No
CUST_10048,45.0,18.0,79.45194608646196,$1443.62,Month-to-month,Mailed check,No,Yes,3,No
CUST_10049,20.0,24.0,42.36021938182846,$1004.83,One year,Electronic check,DSL,Yes,1,No
CUST_10050,-5.0,33.0,135.66905492809622, 4668.43 ,Month-to-month,Bank transfer,Fiber optic,Yes,15,Yes
CUST_10051,,6.0,86.6580878549484, 548.58 ,Month-to-month,Electronic check,DSL,No,2,Yes
CUST_10052,33.0,18.0,40.982911349511326,$781.88,Month-to-month,Mailed check,DSL,No,1,No
CUST_10053,48.0,42.0,65.10903768350761,$2739.09,Month-to-month,Credit card,DSL,No,0,Yes
CUST_10054,53.0,15.0,65.13082160718947, 1058.17 ,Month-to-month,Electronic check,No,Yes,1,No
CUST_10055,52.0,8.0,80.06951354291584,749 USD,Month-to-month,Credit card,No,Yes,1,Yes
CUST_10056,31.0,26.0,66.08265252217443,1832 USD,Two year,Bank transfer,DSL,Yes,0,No
CUST_10057,37.0,42.0,40.64889976959316,1917 USD,Month-to-month,Electronic check,DSL,Yes,2,No
CUST_10058,45.0,2.0,45.50785663925853,$126.65,Month-to-month,Mailed check,Fiber optic,No,3,No
CUST_10059,53.0,36.0,103.16162275643663,$3763.34,,Bank transfer,DSL,No,2,No
CUST_10060,35.0,41.0,63.31766358683181,$2619.36,Month-to-month,Mailed check,DSL,Yes,5,No
CUST_10061,39.0,15.0,74.186749952053,$1167.30,Month-to-month,,DSL,No,3,Yes
CUST_10062,28.0,72.0,99.66431478904161,7513.84,Month-to-month,Electronic check,Fiber optic,No,2,No
CUST_10063,27.0,37.0,61.47028033955416,2331 USD,Month-to-month,,DSL,No,5,No
CUST_10064,51.0,36.0,39.8215854960663,$1478.54,Month-to-month,Bank transfer,DSL,No,1,No
CUST_10065,57.0,33.0,75.80365898960616,2542.46,One year,Mailed check,DSL,No,1,No
CUST_10066,40.0,4.0,81.11218479857281, 445.44 ,Month-to-month,Electronic check,Fiber optic,Yes,0,No
CUST_10067,53.0,6.0,55.883934801248884,$424.64,Month-to-month,Credit card,No,No internet service,1,No
CUST_10068,,15.0,50.075012892622766,770.39,One year,Credit card,DSL,No internet service,2,No
CUST_10069,33.0,7.0,101.70108685076752,$750.41,Two year,Electronic check,No,No internet service,0,No
CUST_10070,,13.0,86.45097668612478, 1292.56 ,One year,Electronic check,Fiber optic,No internet service,3,No
CUST_10071,59.0,53.0,62.22057750116278, 3694.00 ,Month-to-month,Credit card,No,Yes,2,Yes
CUST_10072,41.0,42.0,48.79990413865579,$2011.36,One year,Credit card,Fiber optic,No,0,No
CUST_10073,60.0,24.0,91.77392143290373,$2229.09,One year,Bank transfer,Fiber optic,Yes,1,No
CUST_10074,10.0,47.0,68.47982912965762,$3577.36,Month-to-month,Credit card,No,No,0,Yes
CUST_10075,51.0,37.0,54.1739170761676,2145.54,Two year,Bank transfer,DSL,No,3,No
CUST_10076,42.0,13.0,88.87257155537651,1193.36,Month-to-month,Electronic check,Fiber optic,No,1,Yes
CUST_10077,37.0,5.0,70.42026835950838, 429.37 ,Two year,Bank transfer,No,Yes,2,No
CUST_10078,42.0,17.0,82.51896117647321,$1617.31,One year,Bank transfer,Fiber optic,No,0,No
CUST_10079,17.0,32.0,89.04627111474557,3121 USD,,Credit card,No,No,2,No
CUST_10080,38.0,14.0,41.92890974660635,$659.35,One year,Electronic check,Fiber optic,No,3,No
CUST_10081,45.0,26.0,52.907596525641765, 1496.22 ,Month-to-month,Mailed check,No,No internet service,2,No
CUST_10082,59.0,2.0,,,Month-to-month,Bank transfer,Fiber optic,Yes,0,No
CUST_10083,35.0,33.0,85.82820370064354, 2730.24 ,Two year,Electronic check,Fiber optic,No internet service,0,No
CUST_10084,31.0,40.0,100.56837347726501,$4391.06,One year,Mailed check,Fiber optic,No,1,No
CUST_10085,35.0,29.0,58.4421552789473, 1674.76 ,Two year,Credit card,No,No,2,No
CUST_10086,52.0,72.0,71.84568760765688, 5696.17 ,Two year,Mailed check,Fiber optic,Yes,0,No
CUST_10087,45.0,42.0,73.01607666272373,3054 USD,Two year,Bank transfer,Fiber optic,No,1,No
CUST_10088,35.0,56.0,83.26569973656501,5085.65,One year,Credit card,Fiber optic,Yes,3,No
CUST_10089,47.0,65.0,82.56555796510128,$5194.55,Month-to-month,Electronic check,DSL,Yes,0,No
CUST_10090,42.0,39.0,95.37519514934262, 3826.09 ,Month-to-month,Credit card,DSL,Yes,1,No
CUST_10091,53.0,27.0,71.9646035967921,1856.58,One year,Bank transfer,No,No internet service,2,No
CUST_10092,33.0,0.0,92.22040587040442, ,Month-to-month,Mailed check,Fiber optic,No,1,Yes
CUST_10093,37.0,15.0,97.07879663762678, 1657.66 ,,Mailed check,DSL,No,2,Yes
CUST_10094,36.0,20.0,71.79432252529304,$1573.55,Month-to-month,Credit card,DSL,Yes,1,Yes
CUST_10095,23.0,9.0,64.68298089331992,$649.84,Two year,Electronic check,Fiber optic,No,0,No
CUST_10096,45.0,9.0,75.88027755023323,$689.77,Two year,Electronic check,Fiber optic,No,0,No
CUST_10097,44.0,72.0,86.17290233985297,6835.94,One year,Electronic check,Fiber optic,No,2,No
CUST_10098,41.0,53.0,183.20308922645057, 10299.55 ,Month-to-month,Electronic check,Fiber optic,No,0,Yes
