SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Contract_ordinal,gender_Male,InternetService_Fiber optic,InternetService_No,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
0.0,0.0,0.0,0.4919786096256685,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.17785927114370853,0.8447206771814103,1.0,-1.0,1.0,0.0,0.0,0.0,1.0,0
0.0,1.0,1.0,0.0855614973262032,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.8480403392161358,-0.1593248504243269,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0
0.0,1.0,1.0,-0.40641711229946526,-1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,-1.0,-0.3080449232179693,-0.25148305776578034,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0,0.0,0.0,-0.5989304812834224,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.26587210634884256,-0.37803732044569743,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
0.0,1.0,1.0,0.4919786096256685,-1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,-1.0,-0.37222094888837953,0.3386197312898883,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1.0,0.0,0.0,-0.27807486631016043,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.4749025899610361,0.05625278923708242,0.0,-1.0,1.0,0.0,0.0,1.0,0.0,1
0.0,1.0,0.0,-0.23529411764705882,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.37038734815493934,-0.13893393998106043,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0
0.0,1.0,1.0,0.7272727272727273,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.34655053862021556,1.2220758817617456,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1.0,1.0,1.0,-0.10695187165775401,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17144166857666734,0.13652476479701608,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,0.0,-0.42780748663101603,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07976163190465267,-0.19714599819311862,0.0,-1.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,0.0,-0.5989304812834224,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2585377034150813,-0.37815342527384416,0.0,-1.0,1.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.36363636363636365,-1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,-0.5519138207655284,0.132156320637996,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0
