doc_id,raw_text,category,target
DOC_0001,"In article <1993Apr28.173600.21703@organpipe.uug.arizona.edu> ame_0123@bigdog.engr.arizona.edu (Terrance J. Dishongh) writes:
>Greeting
>
>I am starting work on a project where I am trying to make strain gages
>bond to bone in vivo or a period of several months.  I am currently
>using hydroxyapaptite back gages, and I have tried M-bonding the gages
>to the bone.  Apart from those two application methods there doesn't
>seem to be much else in the literature.  I have only an engineering 
>background not medical or biological.  I would be interest in any
>ideas about how to stimulte bone growth on the surface of cortical bone.
>
>Thanks for oyur help in Advance.
>
>Terrance J Dishongh
>ame_0123@bigdog.engr.arizona.edu

It sounds as though you might want to try a product such as ""super-glue"".
The active ingredient is cynoacrylate, the same compound used to reconstruct
bones.  I have successfully used superglue for a number of procedures on many
different species of animal. If you are simply trying to adhear something
to bone for several months, this would be ideal. It bonds almost immediatly,
is resistant to infection, and is non-irritating to surrounding tissue.

Phil Bowman, Manager
Lab Animal Resources
University of Montana
Missoula, MT 59812
larpjb@selway.umt.edu
:wg


--",alt.atheism,1
DOC_0002,"In article <1993Apr5.023044.19580@ultb.isc.rit.edu>, snm6394@ultb.isc.rit.edu (S.N. Mozumder ) writes:


|> 
|> That's your mistake.  It would be better for the children if the mother
|> raised the child.
|> 
|> One thing that relates is among Navy men that get tatoos that say ""Mom"",
|> because of the love of their mom.  It makes for more virile men.
|> Compare that with how homos are raised.  Do a study and you will get my
|> point.
|> 
|> But in no way do you have a claim that it would be better if the men
|> stayed home and raised the child.  That is something false made up by
|> feminists that seek a status above men.  You do not recognize the fact
|> that men and women have natural differences.  Not just physically, but
|> mentally also.
|> 

Bobby, there's a question here that I just HAVE to ask. If all
of your posts aren't some sort of extended, elaborate hoax, why
are you trying so hard to convince the entire civilised world
that you're feeble minded? You have a talent for saying the most
absurd things. Here's a little sign for you, print it, cut it out
and put it on top of your computer/terminal.

              ENGAGE BRAIN PRIOR TO OPERATING KEYBOARD


(Having said all that, I must admit we all get a laugh from
your stuff.)




--",sci.med,0
DOC_0003,"In article <1993Apr2.155057.808@batman.bmd.trw.com> jbrown@batman.bmd.trw.com writes:
[why do babies get diseases, etc.]
>What God did create was life according to a protein code which is
>mutable and can evolve.  Without delving into a deep discussion of
>creationism vs evolutionism,

 Here's the (main) problem. The scenario you outline is reasonably 
consistent, but all the evidence that I am familiar with not only does
not support it, but indicates something far different. The Earth, by
latest estimates, is about 4.6 billion years old, and has had life for
about 3.5 billion of those years. Humans have only been around for (at
most) about 200,000 years. But, the fossil evidence inidcates that life
has been changing and evolving, and, in fact, disease-ridden, long before
there were people. (Yes, there are fossils that show signs of disease...
mostly bone disorders, of course, but there are some.) Heck, not just
fossil evidence, but what we've been able to glean from genetic study shows
that disease has been around for a long, long time. If human sin was what
brought about disease (at least, indirectly, though necessarily) then
how could it exist before humans?

>                             God created the original genetic code
>perfect and without flaw.  And without getting sidetracked into
>the theological ramifications of the original sin, the main effect
>of the so-called original sin for this discussion was to remove
>humanity from God's protection since by their choice A&E cut
>themselves off from intimate fellowship with God.  In addition, their
>sin caused them to come under the dominion of Satan, who then assumed
>dominion over the earth...
[deletions]
>Since humanity was no longer under God's protection but under Satan's
>dominion, it was no great feat for Satan to genetically engineer
>diseases, both bacterial/viral and genetic.  Although the forces of
>natural selection tend to improve the survivability of species, the
>degeneration of the genetic code tends to more than offset this.  

 Uh... I know of many evolutionary biologists, who know more about
biology than you claim to, who will strongly disagree with this. There
is no evidence that the human genetic code (or any other) 'started off'
in perfect condition. It seems to adapt to its envionment, in a
collective sense. I'm really curious as to what you mean by 'the
degeneration of the genetic code'.

>Human DNA, being more ""complex"", tends to accumulate errors adversely
>affecting our well-being and ability to fight off disease, while the 
>simpler DNA of bacteria and viruses tend to become more efficient in 
>causing infection and disease.  It is a bad combination.

 Umm. Nah, we seem to do a pretty good job of adapting to viruses and
bacteria, and they to us. Only a very small percentage of microlife is
harmful to humans... and that small percentage seems to be reasonalby
constant in size, but the ranks keep changing. For example, bubonic
plague used to be a really nasty disease, I'm sure you'll agree. But
it still pops up from time to time, even today... and doesn't do as
much damage. Part of that is because of better sanitation, but even
when people get the disease, the symptoms tend to be less severe than in
the past. This seems to be partly because people who were very susceptible
died off long ago, and because the really nasty variants 'overgrazed',
(forgive the poor terminology, I'm an engineer, not a doctor! :-> ) and
died off for lack of nearby hosts.
 I could be wrong on this, but from what I gather acne is only a few
hundred years old, and used to be nastier, though no killer. It seems to
be getting less nasty w/age...

>                                                          Hence
>we have newborns that suffer from genetic, viral, and bacterial
>diseases/disorders.

 Now, wait a minute. I have a question. Humans were created perfect, right?
And, you admit that we have an inbuilt abiliy to fight off disease. It
seems unlikely that Satan, who's making the diseases, would also gift
humans with the means to fight them off. Simpler to make the diseases less
lethal, if he wants survivors. As far as I can see, our immune systems,
imperfect though they may (presently?) be, must have been built into us
by God. I want to be clear on this: are you saying that God was planning
ahead for the time when Satan would be in charge by building an immune
system that was not, at the time of design, necessary? That is, God made
our immune systems ahead of time, knowing that Adam and Eve would sin and
their descendents would need to fight off diseases?

>This may be more of a mystical/supernatural explanation than you
>are prepared to accept, but God is not responsible for disease.
>Even if Satan had nothing to do with the original inception of
>disease, evolution by random chance would have produced them since
>humanity forsook God's protection.

 Here's another puzzle. What, exactly, do you mean by 'perfect' in the
phrase, 'created... perfect and without flaw'? To my mind, a 'perfect'
system would be incapable of degrading over time. A 'perfect' system
that will, without constant intervention, become imperfect is *not* a
perfect system. At least, IMHO.
 Or is it that God did something like writing a masterpiece novel on a
bunch of gum wrappers held together with Elmer's glue? That is, the
original genetic 'instructions' were perfect, but were 'written' in
inferior materials that had to be carefully tended or would fall apart?
If so, why could God not have used better materials?
 Was God *incapable* of creating a system that could maintain itself,
of did It just choose not to?

[deletions]
>In summary, newborns are innocent, but God does not cause their suffering.

 My main point, as I said, was that there really isn't any evidence for
the explanation you give. (At least, that I'm aware of.) But, I couldn't
help making a few nitpicks here and there. :->

Sincerely,",sci.med,0
DOC_0004,"Greeting

I am starting work on a project where I am trying to make strain gages
bond to bone in vivo or a period of several months.  I am currently
using hydroxyapaptite back gages, and I have tried M-bonding the gages
to the bone.  Apart from those two application methods there doesn't
seem to be much else in the literature.  I have only an engineering 
background not medical or biological.  I would be interest in any
ideas about how to stimulte bone growth on the surface of cortical bone.

Thanks for oyur help in Advance.",alt.atheism,1
DOC_0005,"Andrew Newell (TAN102@psuvm.psu.edu) wrote:
: >
: >I think you're letting atheist mythology confuse you on the issue of

: (WEBSTER:  myth:  ""a traditional or legendary story...
:            ...a belief...whose truth is accepted uncritically."")

: How does that qualify?
: Indeed, it's almost oxymoronic...a rather amusing instance.
: I've found that most atheists hold almost no atheist-views as
: ""accepted uncritically,"" especially the few that are legend.
: Many are trying to explain basic truths, as myths do, but
: they don't meet the other criterions.

Andrew,

The myth to which I refer is the convoluted counterfeit athiests have
created to make religion appear absurd. Rather than approach religion
(including Christainity) in a rational manner and debating its claims
-as the are stated-, atheists concoct outrageous parodies and then
hold the religious accountable for beliefs they don't have. What is
more accurately oxymoric is the a term like, reasonable atheist.

Bill

: >Divine justice. According to the most fundamental doctrines of
: >Christianity, When the first man sinned, he was at that time the

: You accuse him of referencing mythology, then you procede to
: launch your own xtian mythology.  (This time meeting all the
: requirements of myth.)
 
Here's a good example of of what I said above. Read the post again, I
said, ""Acoording to ..."", which means I am referring to Christian
doctrine (as I understand it), if I am speaking for myself you'll know
it. My purpose in posting was to present a basic overview of Christain
doctrines since it seemed germane.

Bill

: >with those who pretend not to know what is being said and what it
: >means. When atheists claim that they do -not- know if God exists and
: >don't know what He wants, they contradict the Bible which clearly says
: >that -everyone- knows. The authority of the Bible is its claim to be

: ...should I repeat what I wrote above for the sake of getting
: it across?  You may trust the Bible, but your trusting it doesn't
: make it any more credible to me.
: If the Bible says that everyone knows, that's clearly reason
: to doubt the Bible, because not everyone ""knows"" your alleged
: god's alleged existance.

Again I am paraphrasing Christian doctrine which is very clear on this
point, your dispute is not with me ...

Bill

: >refuted while the species-wide condemnation is justified. Those that
: >claim that there is no evidence for the existence of God or that His will is
: >unknown, must deliberately ignore the Bible; the ignorance itself is
: >no excuse.

: 1) No, they don't have to ignore the Bible.  The Bible is far
: from universally accepted.  The Bible is NOT a proof of god;
: it is only a proof that some people have thought that there
: was a god.  (Or does it prove even that?  They might have been
: writing it as series of fiction short-stories.  As in the
: case of Dionetics.)  Assuming the writers believed it, the
: only thing it could possibly prove is that they believed it.
: And that's ignoring the problem of whether or not all the
: interpretations and Biblical-philosophers were correct.

: 2) There are people who have truly never heard of the Bible.

: 3) Again, read the FAQ.

1) Here again you miss the point. The Bible itself is not the point,
it's what it contains. It makes no difference who accpets the Bible or
even who's unaware of its existence, Christians hold that it applies
universally because mankind shares the same nature and the same fate
and the same innate knowledge of God.

2) See above

3) If you read my post with same care as read the FAQ, we wouldn't be
having this conversation.

Bill

: >freedom. You are free to ignore God in the same way you are free to
: >ignore gravity and the consequences are inevitable and well known
: >in both cases. That an atheist can't accept the evidence means only

: Bzzt...wrong answer!
: Gravity is directly THERE.  It doesn't stop exerting a direct and
: rationally undeniable influence if you ignore it.  God, on the
: other hand, doesn't generally show up in the supermarket, except
: on the tabloids.  God doesn't exert a rationally undeniable influence.
: Gravity is obvious; gods aren't.

As I said, the evidence is there, you just don't accept it, here at
least we agree.

Bill

: >Secondly, human reason is very comforatble with the concept of God, so
: >much so that it is, in itself, intrinsic to our nature. Human reason
: >always comes back to the question of God, in every generation and in

: No, human reason hasn't always come back to the existance of
: ""God""; it has usually come back to the existance of ""god"".
: In other words, it doesn't generally come back to the xtian
: god, it comes back to whether there is any god.  And, in much
: of oriental philosophic history, it generally doesn't pop up as
: the idea of a god so much as the question of what natural forces
: are and which ones are out there.  From a world-wide view,
: human nature just makes us wonder how the universe came to
: be and/or what force(s) are currently in control.  A natural
: tendancy to believe in ""God"" only exists in religious wishful
: thinking.

Yes, human reason does always come back to the existence of God, we're
having this discussion are we not?

Bill

: >I said all this to make the point that Christianity is eminently
: >reasonable, that Divine justice is just and human nature is much
: >different than what atheists think it is. Whether you agree or not

: YOU certainly are not correct on human nature.  You are, at
: the least, basing your views on a completely eurocentric
: approach.  Try looking at the outside world as well when
: you attempt to sum up all of humanity.

Well this is interesting, Truth is to be determined by it politically
correct content. Granted it's extremely unhip to be a WASP male, and
anything European is contemptable, but I thought this kind of
dialogue, the purpose of a.a, was to get at the truth of things. But
then I remember the oxymoron, reasonalble atheist, and I understand.",sci.med,0
DOC_0006,"In article <1993Apr19.204855.10818@rtsg.mot.com> lundby@rtsg.mot.com (Walter F. Lundby) writes:
>As nobody in the food industry has even bothered to address my previous
>question ""WHY DO YOU NEED TO PUT MSG IN ALMOST EVERY FOOD?"" I must assume
>that my wife's answer is closer to the truth than I hoped it was.
I don't mean to be disrespectful to your concerns, but it seems to me 
that you're getting all wound up in a non-issue.  

As many knowledgeable people have pointed out, msg is a naturally 
occurring substance in a lot, if not most, foods.  When food 
manufacturers add it to a preparation, they do so because it's a 
known flavor enhancer. 

Your wife's theory, that MSG is added to food to stimulate appetite, 
may well be true.  But I don't believe it's ALWAYS the reason it's 
added.  People are (largely, for the most part) in charge of their 
own appetites. 

>children's and my parent's) seem to fixate on a particular brand of pet
>food. The cat will eat any product within one brand and not any other
>brand.  I have wondered if this is not a case of preference, but, some
>sort of chemical training or addiction. My questions, for the net, are:
>Does the FDA regulate the contents of pet food?  Is it allowed for pet
>food to contain addictive or conditioning substances?  Is MSG put in 
>pet food?
>
You don't know much about cats, do you? 

Cats will Take Advantage of You.  Resign yourself:  you will never  
understand a cat.  Their tastes are whimsical.  

I also suspect, though it's been a while since I've checked ingredients 
on commercial cat food, that there are much more stringent requirements 
on pet food additives than human.  

See, the FDA has this stupid idea that human beings have the intelligence 
to look out after their own interests.",alt.atheism,1
DOC_0007,"Does anyone know of any studies done on the long-term health effects of a
man's vasectomy on his female partner?

I've seen plenty of study results about vasectomy's effects on men's health,
but what about women? 

For example, might the wife of a vasectomized man become more at risk for,
say, cervical cancer?  Adverse effects from sperm antibodies?  Changes in the
vagina's pH?  Yeast or bacterial infections?

Outside of study results, how about informed speculation?

Thanks in advance for your help!",alt.atheism,1
DOC_0008,"This question derives from the Waco incident:
	Could CS (""gas"") particles create an allergic response which would 
result in laryngospasm and asphyxiation?- especially in children.",alt.atheism,1
DOC_0009,"In article <66014@mimsy.umd.edu>
mangoe@cs.umd.edu (Charley Wingate) writes:
 
>>And what about that revelation thing, Charley?
>
>If you're talking about this intellectual engagement of revelation, well,
>it's obviously a risk one takes.
>
 
I see, it is not rational, but it is intellectual. Does madness qualify
as intellectual engagement, too?
 
 
>>Many people say that the concept of metaphysical and religious knowledge
>>is contradictive.
>
>I'm not an objectivist, so I'm not particularly impressed with problems of
>conceptualization.  The problem in this case is at least as bad as that of
>trying to explain quantum mechanics and relativity in the terms of ordinary
>experience.  One can get some rough understanding, but the language is, from
>the perspective of ordinary phenomena, inconsistent, and from the
>perspective of what's being described, rather inexact (to be charitable).
>
 
Exactly why science uses mathematics. QM representation in natural language
is not supposed to replace the elaborate representation in mathematical
terminology. Nor is it supposed to be the truth, as opposed to the
representation of gods or religions in ordinary language. Admittedly,
not  every religion says so, but a fancy side effect of their inept
representations are the eternal hassles between religions.
 
And QM allows for making experiments that will lead to results that will
be agreed upon as being similar. Show me something similar in religion.
 
 
>An analogous situation (supposedly) obtains in metaphysics; the problem is
>that the ""better"" descriptive language is not available.
>
 
With the effect that the models presented are useless. And one can argue
that the other way around, namely that the only reason metaphysics still
flourish is because it makes no statements that can be verified or falsified -
showing that it is bogus.
 
 
>>And in case it holds reliable information, can you show how you establish
>>that?
>
>This word ""reliable"" is essentially meaningless in the context-- unless you
>can show how reliability can be determined.",sci.med,0
DOC_0010,"In article <930421.121209.0e2.rusnews.w165w@mantis.co.uk> mathew <mathew@mantis.co.uk> writes:
>jbrown@batman.bmd.trw.com writes:
>> The problem with most peace-niks it they consider those of us who are
>> not like them to be ""bad"" and ""unconscionable"".  I would not have any
>> argument or problem with a peace-nik if they held to their ideals and
>> stayed out of all conflicts or issues, especially those dealing with 
>> the national defense.  But no, they are not willing to allow us to
>> legitimately hold a different point-of-view.  They militate and 
>> many times resort to violence all in the name of peace.
>
><Yawn>  Another right-wing WASP imagining he's an oppressed minority. 
>Perhaps Camille Paglia is right after all.

Personal attacks?  

>""I would not have any argument or problem with a peace-nik if they [...]
>stayed out of all conflicts or issues""?  I bet you wouldn't.  You'd love it. 

Deliberate misinterpretation of a persons statement?  (By cutting out
the part of the statement, he tries to blunt the thrust of the sentence.
He never addresses the issue of extreemist peace people not holding true
to their ideals.)

>But what makes you think that sitting back, saying nothing about defense
>issues, and letting people like you make all the decisions is anything to do
>with ""their ideals""?

Ignoring the challenge?  (He ignores the challenge that extreemists for
peace tend to be quite insistent that everyone accept their ideals for
the world, and have even turned quite violent.  (Witness, Chicago, summer
1968)).

>
>mathew

Paranoia?  (He assumes that anyone who argues against his viewpoint must
""masturbate over Guns'N'Ammo."")

Fire up the Oven, it isn't hot enough!",sci.med,0
